dc (V),value(Gm "Vtun" -0.4),value(Gm "Vtun" -0.3),value(Gm "Vtun" -0.2),value(Gm "Vtun" -0.1),value(Gm "Vtun" -2.775558e-17),value(Gm "Vtun" 0.1),value(Gm "Vtun" 0.2),value(Gm "Vtun" 0.3)
-690.0E-3,184.4E-9,184.0E-9,177.9E-9,157.7E-9,133.4E-9,109.4E-9,86.16E-9,63.71E-9
-680.0E-3,184.3E-9,184.0E-9,177.9E-9,157.7E-9,133.4E-9,109.4E-9,86.15E-9,63.70E-9
-670.0E-3,184.3E-9,184.0E-9,177.9E-9,157.7E-9,133.4E-9,109.4E-9,86.14E-9,63.69E-9
-660.0E-3,184.3E-9,184.0E-9,177.9E-9,157.7E-9,133.4E-9,109.4E-9,86.13E-9,63.69E-9
-650.0E-3,184.2E-9,184.0E-9,177.8E-9,157.6E-9,133.4E-9,109.3E-9,86.12E-9,63.68E-9
-640.0E-3,184.2E-9,183.9E-9,177.8E-9,157.6E-9,133.4E-9,109.3E-9,86.12E-9,63.68E-9
-630.0E-3,184.2E-9,183.9E-9,177.8E-9,157.6E-9,133.3E-9,109.3E-9,86.11E-9,63.67E-9
-620.0E-3,184.2E-9,183.9E-9,177.8E-9,157.6E-9,133.3E-9,109.3E-9,86.10E-9,63.66E-9
-610.0E-3,184.1E-9,183.9E-9,177.8E-9,157.6E-9,133.3E-9,109.3E-9,86.09E-9,63.66E-9
-600.0E-3,184.1E-9,183.9E-9,177.8E-9,157.6E-9,133.3E-9,109.3E-9,86.08E-9,63.65E-9
-590.0E-3,184.1E-9,183.8E-9,177.7E-9,157.6E-9,133.3E-9,109.3E-9,86.08E-9,63.65E-9
-580.0E-3,184.1E-9,183.8E-9,177.7E-9,157.5E-9,133.3E-9,109.3E-9,86.07E-9,63.64E-9
-570.0E-3,184.1E-9,183.8E-9,177.7E-9,157.5E-9,133.3E-9,109.3E-9,86.06E-9,63.64E-9
-560.0E-3,184.0E-9,183.8E-9,177.7E-9,157.5E-9,133.3E-9,109.3E-9,86.06E-9,63.63E-9
-550.0E-3,184.0E-9,183.8E-9,177.7E-9,157.5E-9,133.2E-9,109.3E-9,86.05E-9,63.63E-9
-540.0E-3,184.0E-9,183.7E-9,177.7E-9,157.5E-9,133.2E-9,109.2E-9,86.04E-9,63.62E-9
-530.0E-3,184.0E-9,183.7E-9,177.7E-9,157.5E-9,133.2E-9,109.2E-9,86.03E-9,63.62E-9
-520.0E-3,184.0E-9,183.7E-9,177.6E-9,157.5E-9,133.2E-9,109.2E-9,86.03E-9,63.62E-9
-510.0E-3,183.9E-9,183.7E-9,177.6E-9,157.5E-9,133.2E-9,109.2E-9,86.02E-9,63.61E-9
-500.0E-3,183.9E-9,183.7E-9,177.6E-9,157.4E-9,133.2E-9,109.2E-9,86.02E-9,63.61E-9
-490.0E-3,183.9E-9,183.7E-9,177.6E-9,157.4E-9,133.2E-9,109.2E-9,86.01E-9,63.60E-9
-480.0E-3,183.9E-9,183.6E-9,177.6E-9,157.4E-9,133.2E-9,109.2E-9,86.00E-9,63.60E-9
-470.0E-3,183.9E-9,183.6E-9,177.6E-9,157.4E-9,133.2E-9,109.2E-9,86.00E-9,63.60E-9
-460.0E-3,183.8E-9,183.6E-9,177.6E-9,157.4E-9,133.2E-9,109.2E-9,85.99E-9,63.59E-9
-450.0E-3,183.8E-9,183.6E-9,177.6E-9,157.4E-9,133.2E-9,109.2E-9,85.99E-9,63.59E-9
-440.0E-3,183.8E-9,183.6E-9,177.6E-9,157.4E-9,133.1E-9,109.2E-9,85.98E-9,63.59E-9
-430.0E-3,183.8E-9,183.6E-9,177.5E-9,157.4E-9,133.1E-9,109.2E-9,85.98E-9,63.58E-9
-420.0E-3,183.8E-9,183.6E-9,177.5E-9,157.4E-9,133.1E-9,109.2E-9,85.97E-9,63.58E-9
-410.0E-3,183.8E-9,183.6E-9,177.5E-9,157.4E-9,133.1E-9,109.1E-9,85.97E-9,63.58E-9
